1. Forasmuch as many have taken in hand to set forth in order a declaration of those things which are most surely believed among us,	επειδηπερ πολλοι επεχειρησαν αναταξασθαι διηγησιν περι των πεπληροφορημενων εν ημιν πραγματων	epeideper polloi epecheiresan anataxasthai diegesin peri ton peplerophoremenon en emin pragmaton	Luk|1|1|

2. Even as they delivered them unto us, which from the beginning were eyewitnesses, and ministers of The Word;	καθως παρεδοσαν ημιν οι απ αρχης αυτοπται και υπηρεται γενομενοι του λογου	kathos paredosan emin oi ap arches autoptai kai uperetai genomenoi tou logou	Luk|1|2|

3. It seemed good to me also, having had perfect understanding of all things from the very first, to write unto thee in order, most excellent Theophilus,	εδοξε καμοι παρηκολουθηκοτι ανωθεν πασιν ακριβως καθεξης σοι γραψαι κρατιστε θεοφιλε	edoxe kamoi parekolouthekoti anothen pasin akribos kathexes soi grapsai kratiste theophile	Luk|1|3|

4. That thou mightest know the certainty of those things, wherein thou hast been instructed.	ινα επιγνως περι ων κατηχηθης λογων την ασφαλειαν.	ina epignos peri on katechethes logon ten asphaleian.	Luk|1|4|

5. There was in the days of Herod, the king of Judaea, a certain priest named Zacharias, of the course of Abia: and his wife was of the daughters of Aaron, and her name was Elisabeth.	εγενετο εν ταις ημεραις ηρωδου του βασιλεως της ιουδαιας ιερευς τις ονοματι ζαχαριας εξ εφημεριας αβια και η γυνη αυτου εκ των θυγατερων ααρων και το ονομα αυτης ελισαβετ.	egeneto en tais emerais erodou tou basileos tes ioudaias iereus tis onomati zacharias ex ephemerias abia kai e gune autou ek ton thugateron aaron kai to onoma autes elisabet.	Luk|1|5|

6. And they were both righteous before God, walking in all the commandments and ordinances of The [Lord LR.C->10] blameless.	ησαν δε δικαιοι αμφοτεροι ενωπιον του θεου πορευομενοι εν πασαις ταις εντολαις και δικαιωμασι του κυριου αμεμπτοι.	esan de dikaioi amphoteroi enopion tou theou poreuomenoi en pasais tais entolais kai dikaiomasi tou kuriou amemptoi.	Luk|1|6|

7. And they had no child, because that Elisabeth was barren, and they both were now well stricken in years.	και ουκ ην αυτοις τεκνον καθοτι η ελισαβετ ην στειρα και αμφοτεροι προβεβηκοτες εν ταις ημεραις αυτων ησαν.	kai ouk en autois teknon kathoti e elisabet en steira kai amphoteroi probebekotes en tais emerais auton esan.	Luk|1|7|

8. And it came to pass, that while he executed the priestís office before God in the order of his course,	εγενετο δε εν τω ιερατευειν αυτον εν τη ταξει της εφημεριας αυτου εναντι του θεου	egeneto de en to ierateuein auton en te taxei tes ephemerias autou enanti tou theou	Luk|1|8|

9. According to the custom of the priestís office, his lot was to burn incense when he went into The Temple of The [Lord LR.C->11].	κατα το εθος της ιερατειας ελαχε του θυμιασαι εισελθων εις τον ναον του κυριου	kata to ethos tes ierateias elache tou thumiasai eiselthon eis ton naon tou kuriou	Luk|1|9|

10. And the whole multitude of the people were praying without at the time of incense.	και παν το πληθος ην του λαου προσευχομενον εξω τη ωρα του θυμιαματος.	kai pan to plethos en tou laou proseuchomenon exo te ora tou thumiamatos.	Luk|1|10|

11. And there appeared unto him an angel of The [Lord LR.C->12] standing on the right of The Altar of Incense.	ωφθη δε αυτω αγγελος κυριου εστως εκ δεξιων του θυσιαστηριου του θυμιαματος.	ophthe de auto aggelos kuriou estos ek dexion tou thusiasteriou tou thumiamatos.	Luk|1|11|

