1. The beginning of The Gospel of Jesus Christ, [The Son of God SG->5];	αρχη του ευαγγελιου ιησου χριστου υιου του θεου.	arche tou euaggeliou iesou christou uiou tou theou.	Mar|1|1|

2. As it is written in the [prophets PR.B->1], Behold, I send My messenger before Thy Face, which shall prepare Thy way before Thee.	ως γεγραπται εν τοις προφηταις ιδου εγω αποστελλω τον αγγελον μου προ προσωπου σου ος κατασκευασει την οδον σου εμπροσθεν σου	os gegraptai en tois prophetais idou ego apostello ton aggelon mou pro prosopou sou os kataskeuasei ten odon sou emprosthen sou	Mar|1|2|

3. The Voice of one crying in the wilderness, Prepare ye The Way of The Lord, make His paths straight.	φωνη βοωντος εν τη ερημω ετοιμασατε την οδον κυριου ευθειας ποιειτε τας τριβους αυτου	phone boontos en te eremo etoimasate ten odon kuriou eutheias poieite tas tribous autou	Mar|1|3|

4. John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.	εγενετο ιωαννης βαπτιζων εν τη ερημω και κηρυσσων βαπτισμα μετανοιας εις αφεσιν αμαρτιων.	egeneto ioannes baptizon en te eremo kai kerusson baptisma metanoias eis aphesin amartion.	Mar|1|4|

5. And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.	και εξεπορευετο προς αυτον πασα η ιουδαια χωρα και οι ιεροσολυμιται και εβαπτιζοντο παντες εν τω ιορδανη ποταμω υπ αυτου εξομολογουμενοι τας αμαρτιας αυτων.	kai exeporeueto pros auton pasa e ioudaia chora kai oi ierosolumitai kai ebaptizonto pantes en to iordane potamo up autou exomologoumenoi tas amartias auton.	Mar|1|5|

6. And John was clothed with camelís hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;	ην δε ο ιωαννης ενδεδυμενος τριχας καμηλου και ζωνην δερματινην περι την οσφυν αυτου και εσθιων ακριδας και μελι αγριον.	en de o ioannes endedumenos trichas kamelou kai zonen dermatinen peri ten osphun autou kai esthion akridas kai meli agrion.	Mar|1|6|

7. And preached, saying, There cometh One mightier than I after me, the latchet of Whose shoes I am not worthy to stoop down and unloose.	και εκηρυσσε λεγων ερχεται ο ισχυροτερος μου οπισω μου ου ουκ ειμι ικανος κυψας λυσαι τον ιμαντα των υποδηματων αυτου.	kai ekerusse legon erchetai o ischuroteros mou opiso mou ou ouk eimi ikanos kupsas lusai ton imanta ton upodematon autou.	Mar|1|7|

8. I indeed have baptized you with water: but He shall [baptize BP->4] you with The Holy Spirit.	εγω μεν εβαπτισα υμας εν υδατι αυτος δε βαπτισει υμας εν πνευματι αγιω.	ego men ebaptisa umas en udati autos de baptisei umas en pneumati agio.	Mar|1|8|

9. And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.	και εγενετο εν εκειναις ταις ημεραις ηλθεν ιησους απο ναζαρετ της γαλιλαιας και εβαπτισθη υπο ιωαννου εις τον ιορδανην.	kai egeneto en ekeinais tais emerais elthen iesous apo nazaret tes galilaias kai ebaptisthe upo ioannou eis ton iordanen.	Mar|1|9|

10. And straightway coming up out of the water, he saw The Heavens opened, and The Spirit like a dove descending upon Him:	και ευθεως αναβαινων απο του υδατος ειδε σχιζομενους τους ουρανους και το πνευμα ως περιστεραν καταβαινον επ αυτον	kai eutheos anabainon apo tou udatos eide schizomenous tous ouranous kai to pneuma os peristeran katabainon ep auton	Mar|1|10|

11. And there came a Voice from Heaven, saying, Thou art My Beloved Son, in Whom I am well pleased.	και φωνη εγενετο εκ των ουρανων συ ει ο υιος μου ο αγαπητος εν σοι ευδοκησα.	kai phone egeneto ek ton ouranon su ei o uios mou o agapetos en soi eudokesa.	Mar|1|11|

12. And immediately The Spirit driveth Him into the wilderness.	και ευθυς το πνευμα αυτον εκβαλλει εις την ερημον	kai euthus to pneuma auton ekballei eis ten eremon	Mar|1|12|

13. And He was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto Him.	και ην εκει εν τη ερημω ημερας τεσσερακοντα πειραζομενος υπο του σατανα και ην μετα των θηριων και οι αγγελοι διηκονουν αυτω.	kai en ekei en te eremo emeras tesserakonta peirazomenos upo tou satana kai en meta ton therion kai oi aggeloi diekonoun auto.	Mar|1|13|

14. Now after that John was put in prison, Jesus came into Galilee, preaching The Gospel of The Kingdom of God,	μετα δε το παραδοθηναι τον ιωαννην ηλθεν ο ιησους εις την γαλιλαιαν κηρυσσων το ευαγγελιον της βασιλειας του θεου	meta de to paradothenai ton ioannen elthen o iesous eis ten galilaian kerusson to euaggelion tes basileias tou theou	Mar|1|14|

15. And saying, The time is fulfilled, and The Kingdom of God is at hand: repent ye, and believe The Gospel.	και λεγων οτι πεπληρωται ο καιρος και ηγγικεν η βασιλεια του θεου μετανοειτε και πιστευετε εν τω ευαγγελιω.	kai legon oti peplerotai o kairos kai eggiken e basileia tou theou metanoeite kai pisteuete en to euaggelio.	Mar|1|15|

16. Now as he walked by the sea of Galilee, He saw Simon and Andrew his brother casting a net into the sea: for they were fishers.	περιπατων δε παρα την θαλασσαν της γαλιλαιας ειδε σιμωνα και ανδρεαν τον αδελφον αυτου βαλλοντας αμφιβληστρον εν τη θαλασση ησαν γαρ αλιεις	peripaton de para ten thalassan tes galilaias eide simona kai andrean ton adelphon autou ballontas amphiblestron en te thalasse esan gar alieis	Mar|1|16|

17. And Jesus said unto them, Come ye after Me, and I will make you to become fishers of men.	και ειπεν αυτοις ο ιησους δευτε οπισω μου και ποιησω υμας γενεσθαι αλιεις ανθρωπων.	kai eipen autois o iesous deute opiso mou kai poieso umas genesthai alieis anthropon.	Mar|1|17|

18. And straightway they forsook their nets, and followed Him.	και ευθεως αφεντες τα δικτυα αυτων ηκολουθησαν αυτω.	kai eutheos aphentes ta diktua auton ekolouthesan auto.	Mar|1|18|

19. And when He had gone a little farther thence, He saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets.	και προβας εκειθεν ολιγον ειδεν ιακωβον τον του ζεβεδαιου και ιωαννην τον αδελφον αυτου και αυτους εν τω πλοιω καταρτιζοντας τα δικτυα	kai probas ekeithen oligon eiden iakobon ton tou zebedaiou kai ioannen ton adelphon autou kai autous en to ploio katartizontas ta diktua	Mar|1|19|

20. And straightway He called them: and they left their father Zebedee in the ship with the hired servants, and went after Him.	και ευθεως εκαλεσεν αυτους και αφεντες τον πατερα αυτων ζεβεδαιον εν τω πλοιω μετα των μισθωτων απηλθον οπισω αυτου.	kai eutheos ekalesen autous kai aphentes ton patera auton zebedaion en to ploio meta ton misthoton apelthon opiso autou.	Mar|1|20|

21. And they went into Capernaum; and straightway on the sabbath day He entered into the synagogue, and taught.	και εισπορευονται εις καφαρναουμ και ευθεως τοις σαββασιν εισελθων εις την συναγωγην εδιδασκε.	kai eisporeuontai eis kapharnaoum kai eutheos tois sabbasin eiselthon eis ten sunagogen edidaske.	Mar|1|21|

22. And they were astonished at His teaching: for He taught them as one that had authority, and not as the scribes.	και εξεπλησσοντο επι τη διδαχη αυτου ην γαρ διδασκων αυτους ως εξουσιαν εχων και ουχ ως οι γραμματεις.	kai exeplessonto epi te didache autou en gar didaskon autous os exousian echon kai ouch os oi grammateis.	Mar|1|22|

23. And there was in their synagogue a man with an unclean spirit; and he cried out,	και ην εν τη συναγωγη αυτων ανθρωπος εν πνευματι ακαθαρτω και ανεκραξε	kai en en te sunagoge auton anthropos en pneumati akatharto kai anekraxe	Mar|1|23|

24. Saying, Let us alone; what have we to do with thee, Thou Jesus of Nazareth? art Thou come to destroy us? I know Thee who Thou art, The Holy One of God.	λεγων εα τι ημιν και σοι ιησου ναζαρηνε ηλθες απολεσαι ημας οιδα σε τις ει ο ῞αγιος του θεου.	legon ea ti emin kai soi iesou nazarene elthes apolesai emas oida se tis ei o ῞agios tou theou.	Mar|1|24|

25. And Jesus rebuked him, saying, Hold thy peace, and come out of him.	και επετιμησεν αυτω ο ιησους λεγων φιμωθητι και εξελθε εξ αυτου.	kai epetimesen auto o iesous legon phimotheti kai exelthe ex autou.	Mar|1|25|

