ORTHODOX-KJV-TEXT	PATRIARCHAL-TEXT-1904-GREEK	ENGLISH-TRANSLITERATION
1The Book of The Generation of Jesus Christ, ~ Son of [David DV->1], ~ Son of Abraham.	βιβλος γενεσεως ιησου χριστου υιου δαυιδ υιου αβρααμ.	biblos geneseos iesou christou uiou dauid uiou abraam.	Mat|1|1|
2[Abraham GN.A->1] begat Isaac; and [Isaac GN.A->2] begat Jacob; and [Jacob GN.A->3] begat Judah and his brethren;	αβρααμ εγεννησε τον ισαακ ισαακ δε εγεννησε τον ιακωβ ιακωβ δε εγεννησε τον ιουδαν και τους αδελφους αυτου	abraam egennese ton isaak isaak de egennese ton iakob iakob de egennese ton ioudan kai tous adelphous autou	Mat|1|2|
3And [Judah GN.A->4] begat Phares and Zara from Thamar; and [Phares GN.A->5] begat Esrom; and [Esrom GN.A->6] begat Aram;	ιουδας δε εγεννησε τον φαρες και τον ζαρα εκ της θαμαρ φαρες δε εγεννησε τον εσρωμ εσρωμ δε εγεννησε τον αραμ	ioudas de egennese ton phares kai ton zara ek tes thamar phares de egennese ton esrom esrom de egennese ton aram	Mat|1|3|
4And [Aram GN.A->7] begat Aminadab; and [Aminadab GN.A->8] begat Naasson; and [Naasson GN.A->9] begat Salmon;	αραμ δε εγεννησε τον αμιναδαβ αμιναδαβ δε εγεννησε τον ναασσων ναασσων δε εγεννησε τον σαλμων	aram de egennese ton aminadab aminadab de egennese ton naasson naasson de egennese ton salmon	Mat|1|4|
5And [Salmon GN.A->10] begat Boaz from Rachab; and [Boaz GN.A->11] begat Obed from Ruth; and [Obed GN.A->12] begat Jesse;	σαλμων δε εγεννησε τον βοοζ εκ της ραχαβ βοοζ δε εγεννησε τον ωβηδ εκ της ρουθ ωβηδ δε εγεννησε τον ιεσσαι	salmon de egennese ton booz ek tes rachab booz de egennese ton obed ek tes routh obed de egennese ton iessai	Mat|1|5|
6And [Jesse GN.A->13] begat [David DV->2] the king; and [David GN.A->14 DV->3] the king begat Solomon from her ~ of Uriah;	ιεσσαι δε εγεννησε τον δαυιδ τον βασιλεα. δαυιδ δε ο βασιλευς εγεννησε τον σολομωνα εκ της του ουριου	iessai de egennese ton dauid ton basilea. dauid de o basileus egennese ton solomona ek tes tou ouriou	Mat|1|6|
7And [Solomon GN.A->15] begat Roboam; and [Roboam GN.A->16] begat Abia; and [Abia GN.A->17] begat Asa;	σολομων δε εγεννησε τον ροβοαμ ροβοαμ δε εγεννησε τον αβια αβια δε εγεννησε τον ασα	solomon de egennese ton roboam roboam de egennese ton abia abia de egennese ton asa	Mat|1|7|
8And [Asa GN.A->18] begat Josaphat; and [Josaphat GN.A->19] begat Joram; and [Joram GN.A->20] begat Ozias;	ασα δε εγεννησε τον ιωσαφατ ιωσαφατ δε εγεννησε τον ιωραμ ιωραμ δε εγεννησε τον οζιαν	asa de egennese ton iosaphat iosaphat de egennese ton ioram ioram de egennese ton ozian	Mat|1|8|
9And [Ozias GN.A->21] begat Joatham; and [Joatham GN.A->22] begat Achaz; and [Achaz GN.A->23] begat Ezekias;	οζιας δε εγεννησε τον ιωαθαμ ιωαθαμ δε εγεννησε τον αχαζ αχαζ δε εγεννησε τον εζεκιαν	ozias de egennese ton ioatham ioatham de egennese ton achaz achaz de egennese ton ezekian	Mat|1|9|
10And [Ezekias GN.A->24] begat Manasses; and [Manasses GN.A->25] begat Amon; and [Amon GN.A->26] begat Josiah;	εζεκιας δε εγεννησε τον μανασση μανασσης δε εγεννησε τον αμων αμων δε εγεννησε τον ιωσιαν	ezekias de egennese ton manasse manasses de egennese ton amon amon de egennese ton iosian	Mat|1|10|
11And [Josiah GN.A->27] begat Jechonias and his brethren, about the time they were carried away to Babylon:	ιωσιας δε εγεννησε τον ιεχονιαν και τους αδελφους αυτου επι της μετοικεσιας βαβυλωνος.	iosias de egennese ton iechonian kai tous adelphous autou epi tes metoikesias babulonos.	Mat|1|11|
12And after they were brought to Babylon, [Jechonias GN.A->28] begat Salathiel; and [Salathiel GN.A->29] begat Zorobabel;	μετα δε την μετοικεσιαν βαβυλωνος ιεχονιας εγεννησε τον σαλαθιηλ σαλαθιηλ δε εγεννησε τον ζοροβαβελ	meta de ten metoikesian babulonos iechonias egennese ton salathiel salathiel de egennese ton zorobabel	Mat|1|12|
13And [Zorobabel GN.A->30] begat Abiud; and [Abiud GN.A->31] begat Eliakim; and [Eliakim GN.A->32] begat Azor;	ζοροβαβελ δε εγεννησε τον αβιουδ αβιουδ δε εγεννησε τον ελιακειμ ελιακειμ δε εγεννησε τον αζωρ	zorobabel de egennese ton abioud abioud de egennese ton eliakeim eliakeim de egennese ton azor	Mat|1|13|
14And [Azor GN.A->33] begat Sadoc; and [Sadoc GN.A->34] begat Achim; and [Achim GN.A->35] begat Eliud;	αζωρ δε εγεννησε τον σαδωκ σαδωκ δε εγεννησε τον αχειμ αχειμ δε εγεννησε τον ελιουδ	azor de egennese ton sadok sadok de egennese ton acheim acheim de egennese ton elioud	Mat|1|14|
15And [Eliud GN.A->36] begat Eleazar; and [Eleazar GN.A->37] begat Matthan; and [Matthan GN.A->38] begat Jacob;	ελιουδ δε εγεννησε τον ελεαζαρ ελεαζαρ δε εγεννησε τον ματθαν ματθαν δε εγεννησε τον ιακωβ	elioud de egennese ton eleazar eleazar de egennese ton matthan matthan de egennese ton iakob	Mat|1|15|
16And [Jacob GN.A->39] begat [Joseph GN.A->40] the husband of [Mary MR.A->1], of whom was born [Jesus GN.A->41], who is called Christ.	ιακωβ δε εγεννησε τον ιωσηφ τον ανδρα μαριας εξ ης εγεννηθη ιησους ο λεγομενος χριστος.	iakob de egennese ton ioseph ton andra marias ex es egennethe iesous o legomenos christos.	Mat|1|16|
17So all the generations from Abraham to [David DV->4] are fourteen generations; and from [David DV->5] until the carrying away into Babylon are fourteen generations; and from the carrying away into Babylon unto The Christ are fourteen generations.	πασαι ουν αι γενεαι απο αβρααμ εως δαυιδ γενεαι δεκατεσσαρες και απο δαυιδ εως της μετοικεσιας βαβυλωνος γενεαι δεκατεσσαρες και απο της μετοικεσιας βαβυλωνος εως του χριστου γενεαι δεκατεσσαρες.	pasai oun ai geneai apo abraam eos dauid geneai dekatessares kai apo dauid eos tes metoikesias babulonos geneai dekatessares kai apo tes metoikesias babulonos eos tou christou geneai dekatessares.	Mat|1|17|
18Now The Birth of Jesus Christ was on this wise: When as His mother [Mary MR.A->2] was betrothed to Joseph, before they came together, she was found with Child of The Holy Spirit.	του δε ιησου χριστου η γεννησις ουτως ην. μνηστευθεισης γαρ της μητρος αυτου μαριας τω ιωσηφ πριν η συνελθειν αυτους ευρεθη εν γαστρι εχουσα εκ πνευματος αγιου.	tou de iesou christou e gennesis outos en. mnesteutheises gar tes metros autou marias to ioseph prin e sunelthein autous eurethe en gastri echousa ek pneumatos agiou.	Mat|1|18|
19Then Joseph her husband, being righteous, and not willing to make her a publick example, was minded to put her away privily.	ιωσηφ δε ο ανηρ αυτης δικαιος ων και μη θελων αυτην παραδειγματισαι εβουληθη λαθρα απολυσαι αυτην.	ioseph de o aner autes dikaios on kai me thelon auten paradeigmatisai eboulethe lathra apolusai auten.	Mat|1|19|
20But while he thought on these things, behold, the angel of The [Lord LR.C->1] appeared unto him in a dream, saying, Joseph, thou son of [David DV->6], fear not to take unto thee [Mary MR.A->3] thy wife: for That Which Is Conceived in her is of The Holy Spirit.	ταυτα δε αυτου ενθυμηθεντος ιδου αγγελος κυριου κατ οναρ εφανη αυτω λεγων ιωσηφ υιος δαυιδ μη φοβηθης παραλαβειν μαριαμ την γυναικα σου το γαρ εν αυτη γεννηθεν εκ πνευματος εστιν αγιου.	tauta de autou enthumethentos idou aggelos kuriou kat onar ephane auto legon ioseph uios dauid me phobethes paralabein mariam ten gunaika sou to gar en aute gennethen ek pneumatos estin agiou.	Mat|1|20|
21And she shall bring forth a Son, and thou shalt call His [Name NM.A->1] JESUS: for He shall save His people from their sins.	τεξεται δε υιον και καλεσεις το ονομα αυτου ιησουν αυτος γαρ σωσει τον λαον αυτου απο των αμαρτιων αυτων.	texetai de uion kai kaleseis to onoma autou iesoun autos gar sosei ton laon autou apo ton amartion auton.	Mat|1|21|
22Now all this was done, that it might be fulfilled which was spoken of The [Lord LR.C->2] by the [prophet PR.A->1], saying,	τουτο δε ολον γεγονεν ινα πληρωθη το ρηθεν υπο του κυριου δια του προφητου λεγοντος	touto de olon gegonen ina plerothe to rethen upo tou kuriou dia tou prophetou legontos	Mat|1|22|
23Behold, The Virgin shall be with Child, and shall bring forth a Son, and they shall call His [Name NM.A->2] EMMANUEL, which being interpreted is, GOD IS WITH US.	ιδου η παρθενος εν γαστρι εξει και τεξεται υιον και καλεσουσι το ονομα αυτου εμμανουηλ ο εστι μεθερμηνευομενον μεθ ημων ο θεος.	idou e parthenos en gastri exei kai texetai uion kai kalesousi to onoma autou emmanouel o esti methermeneuomenon meth emon o theos.	Mat|1|23|
24Then Joseph being raised from sleep did as the angel of The [Lord LR.C->3] had bidden him, and took unto him his wife:	διεγερθεις δε ο ιωσηφ απο του υπνου εποιησεν ως προσεταξεν αυτω ο αγγελος κυριου και παρελαβε την γυναικα αυτου	diegertheis de o ioseph apo tou upnou epoiesen os prosetaxen auto o aggelos kuriou kai parelabe ten gunaika autou	Mat|1|24|
25And knew her not till she had brought forth her Son, The Firstborn: and he called His [Name NM.A->3] JESUS.	και ουκ εγινωσκεν αυτην εως ου ετεκε τον υιον αυτης τον πρωτοτοκον και εκαλεσε το ονομα αυτου ιησουν.	kai ouk eginosken auten eos ou eteke ton uion autes ton prototokon kai ekalese to onoma autou iesoun.	Mat|1|25|
1Now when Jesus was born in Bethlehem of Judaea in the days of Herod the king, behold, there came magi from the east to Jerusalem,	του δε ιησου γεννηθεντος εν βηθλεεμ της ιουδαιας εν ημεραις ηρωδου του βασιλεως ιδου μαγοι απο ανατολων παρεγενοντο εις ιεροσολυμα	tou de iesou gennethentos en bethleem tes ioudaias en emerais erodou tou basileos idou magoi apo anatolon paregenonto eis ierosoluma	Mat|2|1|
2Saying, Where is He that is born King of the Jews? for we have seen His star in the east, and are come to [worship WR->1] Him.	λεγοντες που εστιν ο τεχθεις βασιλευς των ιουδαιων ειδομεν γαρ αυτου τον αστερα εν τη ανατολη και ηλθομεν προσκυνησαι αυτω.	legontes pou estin o techtheis basileus ton ioudaion eidomen gar autou ton astera en te anatole kai elthomen proskunesai auto.	Mat|2|2|
3When Herod the king had heard these things, he was troubled, and all Jerusalem with him.	ακουσας δε ηρωδης ο βασιλευς εταραχθη και πασα ιεροσολυμα μετ αυτου	akousas de erodes o basileus etarachthe kai pasa ierosoluma met autou	Mat|2|3|
4And when he had gathered all the chief priests and scribes of the people together, he demanded of them where Christ should be Born.	και συναγαγων παντας τους αρχιερεις και γραμματεις του λαου επυνθανετο παρ αυτων που ο χριστος γενναται.	kai sunagagon pantas tous archiereis kai grammateis tou laou epunthaneto par auton pou o christos gennatai.	Mat|2|4|
5And they said unto him, In Bethlehem of Judaea: for thus it is written by the [prophet PR.A->2],	οι δε ειπον αυτω εν βηθλεεμ της ιουδαιας ουτω γαρ γεγραπται δια του προφητου	oi de eipon auto en bethleem tes ioudaias outo gar gegraptai dia tou prophetou	Mat|2|5|
6And thou Bethlehem, in the land of Judah, art not the least among the princes of Judah: for out of thee shall come a Governor, that shall rule My people Israel.	και συ βηθλεεμ γη ιουδα ουδαμως ελαχιστη ει εν τοις ηγεμοσιν ιουδα εκ σου γαρ εξελευσεται ηγουμενος οστις ποιμανει τον λαον μου τον ισραηλ.	kai su bethleem ge iouda oudamos elachiste ei en tois egemosin iouda ek sou gar exeleusetai egoumenos ostis poimanei ton laon mou ton israel.	Mat|2|6|
7Then Herod, when he had privily called the magi, enquired of them diligently what time the star appeared.	τοτε ηρωδης λαθρα καλεσας τους μαγους ηκριβωσε παρ αυτων τον χρονον του φαινομενου αστερος	tote erodes lathra kalesas tous magous ekribose par auton ton chronon tou phainomenou asteros	Mat|2|7|
8And he sent them to Bethlehem, and said, Go and search diligently for The Child; and when ye have found Him, bring me word again, that I may come and worship Him also.	και πεμψας αυτους εις βηθλεεμ ειπε πορευθεντες ακριβως εξετασατε περι του παιδιου επαν δε ευρητε απαγγειλατε μοι οπως καγω ελθων προσκυνησω αυτω.	kai pempsas autous eis bethleem eipe poreuthentes akribos exetasate peri tou paidiou epan de eurete apaggeilate moi opos kago elthon proskuneso auto.	Mat|2|8|
9When they had heard the king, they departed; and, behold, the star, which they saw in the east, went before them, till it came and stood over where The Child was.	οι δε ακουσαντες του βασιλεως επορευθησαν και ιδου ο αστηρ ον ειδον εν τη ανατολη προηγεν αυτους εως ελθων εστη επανω ου ην το παιδιον	oi de akousantes tou basileos eporeuthesan kai idou o aster on eidon en te anatole proegen autous eos elthon este epano ou en to paidion	Mat|2|9|
10When they saw the star, they rejoiced with exceeding great joy.	ιδοντες δε τον αστερα εχαρησαν χαραν μεγαλην σφοδρα	idontes de ton astera echaresan charan megalen sphodra	Mat|2|10|
11And when they were come into the house, they saw The Child with [Mary MR.A->4] His mother, and fell down, and [worshipped WR->2] Him: and when they had opened their treasures, they presented unto Him gifts; gold, and frankincense, and myrrh.	και ελθοντες εις την οικιαν ειδον το παιδιον μετα μαριας της μητρος αυτου και πεσοντες προσεκυνησαν αυτω και ανοιξαντες τους θησαυρους αυτων προσηνεγκαν αυτω δωρα χρυσον και λιβανον και σμυρναν	kai elthontes eis ten oikian eidon to paidion meta marias tes metros autou kai pesontes prosekunesan auto kai anoixantes tous thesaurous auton prosenegkan auto dora chruson kai libanon kai smurnan	Mat|2|11|
12And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.	και χρηματισθεντες κατ οναρ μη ανακαμψαι προς ηρωδην δι αλλης οδου ανεχωρησαν εις την χωραν αυτων.	kai chrematisthentes kat onar me anakampsai pros eroden di alles odou anechoresan eis ten choran auton.	Mat|2|12|
13And when they were departed, behold, the angel of The [Lord LR.C->4] appeareth to Joseph in a dream, saying, Arise, and take The Child and His [mother MR.A->5], and flee into Egypt, and be thou there until I bring thee word: for Herod will seek The Child to destroy Him.	αναχωρησαντων δε αυτων ιδου αγγελος κυριου φαινεται κατ οναρ τω ιωσηφ λεγων εγερθεις παραλαβε το παιδιον και την μητερα αυτου και φευγε εις αιγυπτον και ισθι εκει εως αν ειπω σοι μελλει γαρ ηρωδης ζητειν το παιδιον του απολεσαι αυτο.	anachoresanton de auton idou aggelos kuriou phainetai kat onar to ioseph legon egertheis paralabe to paidion kai ten metera autou kai pheuge eis aigupton kai isthi ekei eos an eipo soi mellei gar erodes zetein to paidion tou apolesai auto.	Mat|2|13|
